ID,日付,種別,タイトル,本文,公開,月次,年次,原URL
N0037,2026-06-07,ニュース,イラン、イスラエルにミサイル反撃,"イランは6月7日、イスラエルによるベイルート南部郊外への空爆への報復としてイスラエルにミサイルを発射し、4月に成立していた停戦は事実上崩壊した。イラン高官は事前に「決定的で痛烈な」報復を予告しており、イスラエル軍は発射されたミサイルをすべて迎撃したと発表した。翌8日にはトランプ米大統領の「即時攻撃停止」の呼びかけを受けて両国は攻撃の応酬を停止したが、ネタニヤフ首相は今後の攻撃には武力で応じる考えを示し、緊張は続いた。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjun%2F07%2Fisrael-escalates-war-hezbollah-airstrikes-beirut)",1,1,,https://www.theguardian.com/world/2026/jun/07/israel-escalates-war-hezbollah-airstrikes-beirut
N0038,2026-05-31,ニュース,ヒズボラ拠点の古城を制圧,"イスラエル軍は南部レバノンの断崖に立つビューフォート城を制圧し、26年余りで最も深いレバノン領内への侵攻となった。同城はかつてイスラエルが駐留拠点として使用していた要衝で、周辺の村々では数日にわたり激しい戦闘と空爆が続いていた。国防相イスラエル・カッツはこの制圧を発表し、米国が仲介した名目上の停戦はさらに形骸化し、イランとの停戦延長交渉にも影響を及ぼしている。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fmay%2F31%2Fisrael-pursuing-scorced-earth-policy-says-lebanon-pm-as-more-airstrikes-hit-countrys-south)",1,1,,https://www.theguardian.com/world/2026/may/31/israel-pursuing-scorced-earth-policy-says-lebanon-pm-as-more-airstrikes-hit-countrys-south
N0039,2026-05-28,ニュース,ガザ70%制圧を指示,"ネタニヤフ首相はイスラエル軍にガザ地区の70%を制圧するよう命じたと明らかにした。10月の停戦合意では境界線までの撤退でガザの53%を実効支配していたが、その後も西方へ支配地域を拡大していた。今回の命令は停戦合意を事実上反故にするもので、深刻な人道状況の悪化が懸念されている。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fmay%2F28%2Fnetanyahu-orders-israeli-army-seize-70-gaza-strip-violating-ceasefire-deal)",1,1,,https://www.theguardian.com/world/2026/may/28/netanyahu-orders-israeli-army-seize-70-gaza-strip-violating-ceasefire-deal
N0040,2026-05-26,ニュース,米、イラン軍事施設を空爆,"米軍は南部イランのミサイル発射拠点と機雷敷設を試みる船舶を攻撃した。米中央軍は停戦終了を意味するものではないと強調したが、7週間続く停戦の実効性を試す動きとなった。同時期、カタールではテヘランからの交渉団による新たな協議も始まっており、和平合意はなお不透明な状況が続く。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fmay%2F26%2Fus-strikes-iran-missile-sites-vessels-trump-peace-deal-elusive)",1,1,,https://www.theguardian.com/world/2026/may/26/us-strikes-iran-missile-sites-vessels-trump-peace-deal-elusive
N0041,2026-05-22,ニュース,米、ポーランドに増派,"トランプ大統領は、ポーランドへ「追加で」5000人の米軍部隊を派遣すると発表した。数日前に国防総省がNATO東方最大の駐留計画を一転して停止したばかりでの表明。トランプ氏はポーランド大統領選でのナヴロツキ氏当選と自身の支持を理由に挙げた。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fmay%2F22%2Ftrump-5000-troops-poland-military-support)",1,1,,https://www.theguardian.com/world/2026/may/22/trump-5000-troops-poland-military-support
N0042,2026-05-04,ニュース,米、ホルムズ海峡に艦船派遣,"米国は4日、ホルムズ海峡で立ち往生する数百隻の船舶を救出するための作戦「プロジェクト・フリーダム」を開始し、中東を全面戦争の瀬戸際に再び追い込んだ。イランは海峡封鎖を維持しようとし、米軍はイランの小型ボート6隻を破壊したと主張した。トランプ大統領は、イランが米艦船を攻撃すれば「地上から消し去る」と警告した。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fmay%2F04%2Fshipping-bosses-nervous-trump-plan-to-guide-vessels-strait-of-hormuz-iran)",1,1,,https://www.theguardian.com/world/2026/may/04/shipping-bosses-nervous-trump-plan-to-guide-vessels-strait-of-hormuz-iran
N0043,2026-08-21,ニュース,露、北方領土でミサイル演習,"ロシア太平洋艦隊は木曜日、択捉島からバスチオン艦対艦ミサイルを発射し、敵艦への攻撃を想定した演習を実施したと発表した。目標はいずれも約300km先で、全弾命中したという。日本が北方領土とするこの島々での演習に対し、日本側は批判を表明した。プーチン大統領が先週同諸島を訪問したこともあり、両国間の緊張が続いている。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F21%2Frussia-launch-missiles-kuril-islands-japan)",1,,,https://www.theguardian.com/world/2026/aug/21/russia-launch-missiles-kuril-islands-japan
N0044,2026-08-20,ニュース,露、キーウに大規模攻撃,"ウクライナ空軍によると、ロシアは弾道・巡航・極超音速ミサイル計数十発と無人機168機を使い、一夜にしてウクライナ各地を攻撃した。防空部隊は無人機145機と巡航ミサイルの大半を撃墜したが、弾道ミサイルは1発も撃墜できなかったという。ゼレンスキー大統領はかねて対弾道ミサイル兵器の追加供与を各国に求めていた。キーウ市長のクリチコ氏によると、この時点で18人の死亡が確認されている。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2Flive%2F2026%2Faug%2F20%2Fukraine-volodymyr-zelenskyy-russia-vladimir-putin-kyiv-europe-live-latest-updates)",1,,,https://www.theguardian.com/world/live/2026/aug/20/ukraine-volodymyr-zelenskyy-russia-vladimir-putin-kyiv-europe-live-latest-updates
N0045,2026-08-20,ニュース,北朝鮮、ミサイル10発発射,"韓国軍によると、北朝鮮は木曜日午後5時ごろ、平壌付近から短距離弾道ミサイル約10発を東方の海に向けて発射した。日本と韓国がこれを探知したという。この発射は、トランプ大統領が金正恩氏との外交再開に向けた歩み寄りとみられる形で米韓合同軍事演習の縮小を指示した翌日に行われた。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F20%2Fnorth-korea-fires-10-missiles-day-after-trump-curtails-south-korea-joint-drills)",1,,,https://www.theguardian.com/world/2026/aug/20/north-korea-fires-10-missiles-day-after-trump-curtails-south-korea-joint-drills
N0046,2026-08-17,ニュース,トランプ氏、米韓演習を縮小,"トランプ大統領は、北朝鮮抑止を目的とした米韓合同軍事演習の規模を縮小すると発表した。両国軍当局者は、金正恩体制がウクライナ戦争を通じて新たな戦術を学んでいると警告していたが、トランプ氏は金氏との関係を「非常に良好」だと述べている。今回縮小される「乙支フリーダムシールド」演習は月曜日に始まり、8月27日まで実施される予定。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F17%2Ftrump-cuts-south-korea-joint-drills-us-military-good-relationship-kim-jong-un)",1,,,https://www.theguardian.com/world/2026/aug/17/trump-cuts-south-korea-joint-drills-us-military-good-relationship-kim-jong-un
N0047,2026-08-17,ニュース,ネタニヤフ氏、ガザ進展なし,"イスラエルのネタニヤフ首相は、トランプ大統領の娘婿で特使のクシュナー氏との会談で、ハマスが先に武装解除しない限りガザからの部隊撤収はないとの立場を改めて示した。イスラエル当局者によると、会談に具体的な進展はなかったものの「建設的」だったという。ネタニヤフ氏は、ハマスが武装解除するまでイスラエル国防軍がガザでの作戦を続けると明言した。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F17%2Fnetanyahu-kushner-talks-gaza-israel-us-board-of-peace)",1,,,https://www.theguardian.com/world/2026/aug/17/netanyahu-kushner-talks-gaza-israel-us-board-of-peace
N0048,2026-08-16,ニュース,日豪防衛相、豪州で会談へ,"小泉進次郎防衛相は今週キャンベラを訪問し、火曜日に豪州のマールズ副首相兼国防相と会談する。アルバニージー首相が高市早苗首相からのメロン贈答について発言し物議を醸した後、日本側がこの問題を軽視する姿勢を示す中での、両国間で最も高いレベルの接触となる。会談では豪州による日本製もがみ型フリゲート艦の導入や、安全保障協力の強化が議題となる見通し。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F16%2Fjapans-defence-minister-heads-to-australia-to-meet-marles-in-wake-of-melon-gate-controversy)",1,,,https://www.theguardian.com/world/2026/aug/16/japans-defence-minister-heads-to-australia-to-meet-marles-in-wake-of-melon-gate-controversy
N0049,2026-08-15,ニュース,イスラエル、レバノン空爆,"イスラエル軍機は土曜早朝、レバノン南部アンサル村近郊の民家を空爆し、建物が倒壊して7人が死亡した。その数時間後には別の民家への空爆も発生し、合わせて子供3人を含む11人が死亡、19人が負傷した。これは6月の停戦合意以降、イスラエルとヒズボラの間で最悪の死者数となった。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F15%2Fisraeli-strike-on-southern-lebanon-kills-seven-in-worst-toll-since-june-state-media-says)",1,,,https://www.theguardian.com/world/2026/aug/15/israeli-strike-on-southern-lebanon-kills-seven-in-worst-toll-since-june-state-media-says
NEWS005,2026-08-22,お知らせ,「ニュース」を始めました,"毎週の世界の動きを追う「📰 ニュース」を始めました。英ガーディアン紙の報道から、軍事・安全保障に関わるものを選んで日本語に要約しています。

見出しを押すと要約が読めます。要約の下には元記事へのリンクがあり、日本語訳と英語原文のどちらでも読めます。",1,,,
NEWS006,2026-08-22,お知らせ,リンク集を増強しました,「🔗 リンク集」のリンクを大幅に増強しました。,1,,,
